Score #,Rate the pitch notation with regard to the key signature and the spelling of notes (1-10: 10 is best),"Rate the rhythmic notation with regard to the time signature, bar lines, and rhythmic values (1-10: 10 is best)","Rate the notation with regard to stems, voicing, and placement of notes on staves (1-10: 10 is best)",Optional comments
01-1,7,4,4,
01-2,7,5,6,
01-3,6,5,5,
01-4,4,3,3,
02-1,7,3,4,
02-2,10,8,7,
02-3,10,9,7,
02-4,8,7,8,
03-1,9,9,7,
03-2,9,3,5,
03-3,8,2,7,
03-4,6,2,5,
04-1,9,9,7,
04-2,8,6,2,
04-3,10,8,8,
04-4,6,5,4,
05-1,8,6,4,
05-2,10,9,9,
05-3,4,4,5,
05-4,3,4,8,
06-1,9,8,8,
06-2,9,8,9,
06-3,6,3,3,
06-4,6,3,3,
07-1,2,3,2,
07-2,9,8,6,
07-3,6,6,7,
07-4,2,3,1,
08-1,10,9,9,
08-2,10,1,6,
08-3,10,10,8,
08-4,8,1,2,
09-1,8,7,7,
09-2,5,2,3,
09-3,3,3,5,
09-4,9,9,8,
10-1,10,7,8,
10-2,10,7,7,
10-3,8,4,3,
10-4,8,4,4,
11-1,3,3,3,
11-2,3,4,7,
11-3,6,7,6,
11-4,3,3,3,
12-1,10,6,6,
12-2,2,2,3,
12-3,10,8,8,
12-4,8,3,2,
13-1,5,10,6,
13-2,8,9,8,
13-3,2,6,1,
13-4,2,4,1,
14-1,4,3,4,
14-2,5,4,6,
14-3,6,7,5,
14-4,8,8,8,
15-1,4,2,7,
15-2,10,7,8,
15-3,10,8,6,
15-4,4,3,2,
16-1,5,8,8,
16-2,3,3,1,
16-3,3,3,1,
16-4,7,7,6,
17-1,7,6,6,
17-2,5,7,7,
17-3,5,6,7,
17-4,8,6,5,
18-1,6,6,9,
18-2,9,9,7,
18-3,7,4,6,
18-4,7,4,5,
19-1,7,5,6,
19-2,7,5,6,
19-3,3,4,4,
19-4,8,9,6,
,,,,
Demographic Information,,,,
,,,,
"Program (PhD, DMA, É): PhD",,,,
"Major (Music Theory, Musicology É): Music Theory",,,,
"Year (1st, 2nd, É): 2nd",,,,
